;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19
bio1;;0.580;0.692;0.083;0.864;0.740;0.327;0.419;0.839;0.916;0.944;-0.452;-0.094;-0.740;0.718;-0.120;-0.718;-0.735;-0.081
bio2;;;0.633;0.650;0.872;-0.032;0.879;0.340;0.626;0.790;0.369;-0.675;-0.428;-0.707;0.571;-0.477;-0.691;-0.699;-0.480
bio3;;;;-0.090;0.632;0.491;0.247;0.239;0.627;0.603;0.717;-0.342;-0.027;-0.664;0.710;-0.050;-0.641;-0.658;-0.005
bio4;;;;;0.503;-0.538;0.918;0.230;0.166;0.431;-0.206;-0.544;-0.533;-0.271;0.081;-0.570;-0.276;-0.253;-0.615
bio5;;;;;;0.340;0.729;0.452;0.807;0.983;0.680;-0.659;-0.337;-0.785;0.671;-0.381;-0.767;-0.778;-0.371
bio6;;;;;;;-0.340;0.218;0.539;0.440;0.898;-0.004;0.256;-0.373;0.459;0.260;-0.354;-0.380;0.313
bio7;;;;;;;;0.311;0.403;0.643;0.051;-0.668;-0.539;-0.508;0.323;-0.585;-0.506;-0.495;-0.614
bio8;;;;;;;;;0.163;0.458;0.326;-0.413;-0.287;-0.300;0.156;-0.352;-0.312;-0.196;-0.477
bio9;;;;;;;;;;0.820;0.769;-0.454;-0.110;-0.750;0.725;-0.129;-0.713;-0.794;-0.045
bio10;;;;;;;;;;;0.746;-0.613;-0.287;-0.771;0.667;-0.324;-0.756;-0.766;-0.304
bio11;;;;;;;;;;;;-0.280;0.070;-0.655;0.703;0.056;-0.630;-0.651;0.110
bio12;;;;;;;;;;;;;0.849;0.693;-0.332;0.875;0.756;0.726;0.826
bio13;;;;;;;;;;;;;;0.293;0.131;0.986;0.378;0.356;0.914
bio14;;;;;;;;;;;;;;;-0.862;0.330;0.978;0.951;0.289
bio15;;;;;;;;;;;;;;;;0.093;-0.815;-0.795;0.090
bio16;;;;;;;;;;;;;;;;;0.405;0.377;0.952
bio17;;;;;;;;;;;;;;;;;;0.957;0.353
bio18;;;;;;;;;;;;;;;;;;;0.288
bio19;;;;;;;;;;;;;;;;;;;
